title_pt;title_en;year;rating;genre;sinopse;sinopse_enriched;Cluster
A Felicidade Não se Compra;It's a Wonderful Life;1946;8.6;Drama;Um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.;Em um mundo repleto de sombras e ambição desenfreada, um anjo desce dos céus para resgatar um homem de negócios à beira do abismo. Com um toque divino, ele revela a dura verdade da vida sem sua presença, onde sonhos se desvanecem e laços se rompem. Neste encontro transcendental, ele descobrirá que cada escolha carrega o peso do destino. Prepare-se para uma jornada que desafiará a essência da existência e revelará o verdadeiro valor da vida.;0
Os Sete Samurais;Seven Samurai;1954;8.6;Ação;Uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.;Em uma aldeia marcada pela pobreza e o desespero, a sombra de bandidos cruza os céus, ameaçando aniquilar tudo que resta. Desesperados, os aldeões clamam por ajuda e, em um ato de bravura, sete lendários samurais emergem das brumas do passado, prontos para lutar. Armados com suas espadas e um inabalável senso de justiça, eles se tornam a última esperança de um povo oprimido. A batalha pela sobrevivência está prestes a começar, e o destino da aldeia repousa nas lâminas desses guerreiros.;4
O Silêncio dos Inocentes;The Silence of the Lambs;1991;8.6;Policial;Uma jovem deve receber a ajuda de um assassino canibal manipulador e preso para ajudar a capturar outro assassino em série, um louco que ataca suas vítimas.;Em um mundo onde a linha entre o bem e o mal é obscura, uma jovem corajosa se vê forçada a aliar-se a um assassino canibal, um gênio manipulador aprisionado por seus próprios crimes. Juntos, eles embarcam em uma caçada implacável para desmascarar um psicopata que se esconde nas sombras, atacando suas vítimas sem piedade. Em meio a traições e segredos obscuros, a sobrevivência se torna uma questão de confiança e instinto. Prepare-se para uma batalha psicológica intensa, onde o verdadeiro monstro pode estar mais perto do que se imagina.;2
Interestelar;Interstellar;2014;8.7;Aventura;Uma equipe de exploradores viaja através de um buraco de minhoca no espaço, na tentativa de garantir a sobrevivência da humanidade.;Em um universo repleto de mistérios, uma corajosa equipe de exploradores se lança em uma jornada sem precedentes, atravessando um buraco de minhoca em busca da salvação da humanidade. Cada segundo conta enquanto eles enfrentam desafios inimagináveis e revelações que podem mudar o destino da Terra. A corrida contra o tempo os levará a limites nunca antes testados, onde a esperança e a desespero dançam em uma dança mortal. Prepare-se para uma odisséia épica que definirá o futuro da nossa espécie!;3
O Resgate do Soldado Ryan;Saving Private Ryan;1998;8.6;Drama;Depois de chegar a Normandía, um grupo de soldados precisam encontrar ao unico irmão vivo de tres que morreram na guerra.;Após desembarcar nas traiçoeiras praias da Normandia, um destemido grupo de soldados embarca em uma missão angustiante e repleta de perigos: encontrar o único irmão sobrevivente de três que sucumbiram nas chamas da guerra. Em meio ao caos e à devastação, eles enfrentam não apenas inimigos implacáveis, mas também os demônios de suas próprias almas. A lealdade será testada e os laços de irmandade, desafiados, enquanto a esperança brilha tenuemente em um cenário de desespero. A jornada para resgatar o último filho da esperança se transforma em uma luta épica pela sobrevivência e pela honra.;3
Cidade de Deus;City of God;2002;8.6;Policial;Os caminhos de duas crianças divergem nas favelas do Rio, enquanto um se esforça para se tornar um fotógrafo e o outro um chefe do tráfico.;Em meio ao caos vibrante das favelas do Rio de Janeiro, dois destinos se entrelaçam e se separam. Um garoto sonha em capturar a beleza do mundo através de sua lente, enquanto o outro se afunda nas sombras, buscando poder e respeito como chefe do tráfico. À medida que suas escolhas os levam por caminhos opostos, uma batalha silenciosa entre esperança e desespero se desenrola. Quem sairá vencedor em um jogo onde a vida e a arte se encontram em um conflito explosivo?;0
A Vida é Bela;Life Is Beautiful;1997;8.6;Comédia;Quando um bibliotecário judeu e seu filho se tornarem vítimas do Holocausto, ele usará uma mistura perfeita de vontade, humor e imaginação para proteger seu filho dos perigos do campo de concentração.;Em meio ao horror do Holocausto, um bibliotecário judeu e seu filho se veem aprisionados em um pesadelo inimaginável. Com uma determinação inabalável, ele transforma cada momento de desespero em uma aventura mágica, utilizando humor e criatividade para blindar a inocência do menino. Enquanto os ecos da brutalidade se aproximam, o amor paternal se torna sua arma mais poderosa. Prepare-se para uma jornada comovente que desafia as sombras da história e revela a luz da esperança.;0
À Espera de um Milagre;The Green Mile;1999;8.6;Policial;As vidas dos guardas de corredor da morte são afetadas por um dos detidos: um homem afro-americano acusado pelo assassinato e estupro de uma criança, mas com um presente misterioso.;Nas sombrias celas do corredor da morte, os guardas se veem confrontados por um prisioneiro enigmático: um homem afro-americano, acusado de um crime hediondo, mas que esconde um dom extraordinário. À medida que os dias se arrastam, suas vidas se entrelaçam em um jogo de moralidade e redenção, desafiando suas convicções mais profundas. Em meio ao peso da condenação, surgem segredos que podem mudar tudo. Prepare-se para uma jornada de tensão e revelações, onde o verdadeiro crime pode não ser o que parece.;2
Star Wars: Episódio IV - Uma Nova Esperança;Star Wars: Episode IV - A New Hope;1977;8.6;Ação;Luke Skywalker une forças com um cabaleiro Jedi, um arrogante piloto é dois dróides para salvar a galaxia enquanto tentam salvar a princesa Leia do misterioso Darth Vader.;Em uma galáxia distante, um jovem e destemido Luke Skywalker se une a um sábio cavaleiro Jedi e um piloto arrogante, em uma jornada épica repleta de ação e revelações. Juntos, eles enfrentam o temível Darth Vader, um enigma sombrio que ameaça a paz do universo. Com a vida da corajosa princesa Leia em jogo, eles devem superar suas diferenças e lutar contra as forças do mal. Prepare-se para uma aventura que definirá o destino da galáxia!;3
O Exterminador do Futuro 2: O Julgamento Final;Terminator 2: Judgment Day;1991;8.6;Ação;Um ciborgue, idêntico àquele que não conseguiu matar Sarah Connor, deve agora proteger seu filho adolescente, John Connor, de um ciborgue mais avançado e poderoso.;Em um futuro devastado, um ciborgue que falhou em sua missão de eliminar Sarah Connor agora enfrenta sua maior prova: proteger o jovem John Connor, o último bastião da esperança da humanidade. Mas uma nova e implacável máquina, mais avançada e mortal, surge das sombras, disposta a acabar com o legado da resistência. Em uma batalha épica entre o que é humano e o que é máquina, o destino do mundo está em suas mãos. A luta pela sobrevivência nunca foi tão intensa!;1
De Volta para o Futuro;Back to the Future;1985;8.5;Aventura;Marty McFly viaja para 1955 com a máquina do tempo do cientista Dr. Brown. Ele deve garantir que seus pais se apaixonem, para não arriscar sua própria existência.;Em uma jornada épica através do tempo, Marty McFly é lançado de volta a 1955, armado apenas com a engenhosa máquina do Dr. Brown. Com o destino de sua própria existência em jogo, ele precisa orquestrar o romance de seus jovens pais, desafiando as leis do tempo e o próprio destino. A cada passo, o futuro se torna incerto, e o amor se transforma em uma batalha contra o impossível. O que ele fará para assegurar que sua história não chegue ao fim?;3
A Viagem de Chihiro;Spirited Away;2001;8.6;Animação;Durante a mudança de casa, uma menina de dez anos se maravilha num mundo de dioses, bruxas e espíritus e onde os humanos são transformados em bestas.;Em meio ao caos de uma mudança, uma menina de dez anos é tragicamente transportada para um universo encantado e aterrorizante, onde deuses poderosos, bruxas astutas e espíritos enigmáticos habitam. Neste reino mágico, os humanos enfrentam o terrível destino de se tornarem bestas. À medida que ela descobre os segredos sombrios desse novo mundo, sua coragem será testada e sua imaginação será a única chave para a liberdade. Prepare-se para uma jornada de fantasia e desafio, onde a linha entre o bem e o mal é tão tênue quanto os próprios sonhos.;3
Oppenheimer;Oppenheimer;2023;8.6;Biografia;A história do cientista americano J. Robert Oppenheimer e o seu papel no desenvolvimento da bomba atômica.;Em meio à turbulência da Segunda Guerra Mundial, a mente brilhante do cientista americano J. Robert Oppenheimer se depara com a responsabilidade de criar a arma mais devastadora já concebida: a bomba atômica. Enquanto o mundo arde em conflitos e a moral se desmorona, Oppenheimer enfrenta uma batalha interna entre a ambição e a consciência. À medida que o poder da destruição toma forma, ele descobre que algumas inovações têm um preço inimaginável. Prepare-se para uma jornada intensa que desafia os limites da ética e da ciência, onde o futuro da humanidade está em jogo.;4
O Pianista;The Pianist;2002;8.5;Biografia;Um musico judeu luta para sobreviver a destruição de Varsóvia durante a segunda guerra mundial.;Em meio ao caos e à destruição de Varsóvia, um talentoso músico judeu se vê em uma batalha desesperada pela sobrevivência. Enquanto as sombras da guerra se aproximam, ele luta não apenas pela sua vida, mas pela essência da sua arte e pela esperança em um mundo despedaçado. Cada nota que toca é um grito de resistência, um eco de fé em dias melhores. A música se torna sua única arma em um cenário de horrores, onde cada acorde é um passo em direção à liberdade.;3
Psicose;Psycho;1960;8.5;Terror;Uma secretária de Phoenix desvia dinheiro de um cliente de sua empresa, foge e vai a um motel remoto gerido por um jovem sob o domínio da mãe.;Em meio ao calor escaldante de Phoenix, uma secretária se vê seduzida pela tentação e desvia uma fortuna de um cliente poderoso. Em fuga, ela busca refúgio em um motel isolado, onde um jovem atormentado vive sob o olhar opressivo de sua mãe. Em um jogo mortal de segredos e manipulações, cada escolha pode ser a última. A tensão cresce enquanto o passado e o presente colidem em um labirinto de desespero e arrependimento, revelando que nem todos os santuários são seguros.;1
Parasita;Parasite;2019;8.5;Drama;Desempregados, a família de Ki-taek (Song Kang-ho) nutre um interesse peculiar pela família Park até que eles se veem presos em um inesperado incidente.;Em meio a um mar de incertezas e desemprego, a família Ki-taek (Song Kang-ho) se vê fascinada pelo estilo de vida luxuoso da família Park. Mas quando um incidente inesperado os lança em um labirinto de mentiras e segredos, suas vidas se entrelaçam de maneira sombria e irreversível. Prepare-se para uma jornada intensa, onde a linha entre a classe e a sobrevivência se desfaz em um jogo mortal. Neste thriller de tirar o fôlego, o que começa como admiração se transforma em um pesadelo que ninguém poderia prever.;3
Gladiador;Gladiator;2000;8.5;Ação;Um general romano planeja a melhor vingança contra o imperador corrupto que matou sua familia e o fez escravo.;Em um império em ruínas, um general romano, consumido pela dor e pelo desejo de justiça, elabora um plano ardiloso para desmantelar o tirano que destruiu sua vida e assassinou sua família. Enquanto a traição e a corrupção permeiam os corredores do poder, ele se transforma de um homem quebrado em uma força imbatível de vingança. Com cada movimento calculado, ele desafia não apenas o imperador, mas também o próprio destino. Prepare-se para uma batalha épica onde a honra e a redenção colidem em um confronto que mudará para sempre a história de Roma.;4
O Rei Leão;The Lion King;1994;8.5;Animação;Um pequeno lion é obrigado por seu tío a fugir de casa e anos depois se da conta da sua identidade e suas responsabilidades.;Em um reino onde a coragem é testada e a lealdade é fundamental, um jovem leão é forçado a deixar seu lar, abandonado ao destino por um tio traiçoeiro. Anos se passam, e ele se vê diante de um espelho que reflete não apenas sua verdadeira identidade, mas também o peso das responsabilidades que o aguardam. Agora, ele deve enfrentar seus medos e reivindicar seu lugar na majestosa savana, onde o chamado da realeza ecoa em seu coração. A jornada de um leão em busca de poder e redenção começa, e a selva nunca mais será a mesma.;1
O Profissional;Léon: The Professional;1994;8.5;Ação;Mathilda, uma menina de 12 anos é levada por Léon, um assassino profissional, depois que sua família é assassinada. Léon e Mathilda formam uma relação incomum, desde que ela se torna sua protegida.;Em meio ao caos e à tragédia, Mathilda, uma jovem de apenas 12 anos, encontra refúgio nos braços de Léon, um enigmático assassino profissional, após o brutal assassinato de sua família. Juntos, eles forjam um laço inesperado, onde a inocência da menina se entrelaça com o sombrio passado de seu protetor. Em um mundo repleto de sombras, eles descobrirão que, mesmo nas situações mais sombrias, o amor e a redenção podem florescer. Prepare-se para uma jornada intensa, onde a sobrevivência e a lealdade serão testadas a cada passo.;2
A Outra História Americana;American History X;1998;8.5;Policial;Um neonazista tenta evitar que seu irmão mais novo tome o mesmo caminho errado que ele.;No coração de uma cidade marcada pelo ódio, um neonazista atormentado pela culpa luta desesperadamente para impedir que seu irmão mais novo siga os passos sombrios que uma vez escolheu. Enquanto os fantasmas do passado ameaçam devorar sua alma, ele se vê em uma batalha interna entre o amor fraternal e as sombras de sua própria ideologia. Em uma jornada de redenção, ele descobrirá que o verdadeiro poder reside na escolha de um futuro diferente. Agora, ele precisa enfrentar não apenas seus demônios, mas também a feroz oposição de um mundo que se recusa a mudar.;1
Os Infiltrados;The Departed;2006;8.5;Policial;Um policial disfarçado e um espião estão tentando se identificar enquanto se infiltram em uma gangue irlandesa no sul de Boston.;Em um jogo mortal de gato e rato, um policial disfarçado e um astuto espião se veem em uma teia de mentiras e traições enquanto se infiltram nas sombras de uma gangue irlandesa no sul de Boston. À medida que a tensão aumenta e as identidades se entrelaçam, a linha entre o dever e a sobrevivência se torna cada vez mais tênue. Quem sairá ileso dessa batalha explosiva de astúcia e lealdade? Prepare-se para uma jornada electrizante onde a verdade pode ser a arma mais letal.;2
Whiplash: Em Busca da Perfeição;Whiplash;2014;8.5;Drama;Um jovem e promissor baterista se matricula em um conservatório de música onde seus sonhos são guiados por um instrutor que não pára por nada para perceber o potencial de um aluno.;Em um conservatório de música de prestígio, um jovem e talentoso baterista se lança em uma jornada intensa, onde cada batida é uma luta pela grandeza. Sob a tutela implacável de um instrutor que desafia os limites da ambição, ele descobre que o caminho para a realização de seus sonhos é pavimentado por sacrifícios e pressão extrema. À medida que a tensão aumenta, a busca pela perfeição se transforma em uma batalha silenciosa entre o talento e a obsessão. Será que ele conseguirá encontrar sua verdadeira voz antes que a música se cale para sempre?;3
O Grande Truque;The Prestige;2006;8.5;Drama;Depois de um trágico acidente, dois magos do palco se engajam em uma batalha para criar a ilusão final enquanto sacrificam tudo o que têm para enganar um ao outro.;Após um devastador acidente que muda suas vidas para sempre, dois ilustres magos do palco se lançam em uma feroz disputa para conceber a ilusão suprema. Em meio a segredos e traições, eles arriscam não apenas suas carreiras, mas também suas almas, em uma luta onde a verdade se torna a maior vítima. Prepare-se para um confronto épico de astúcia e magia, onde cada truque pode ser a chave para a vitória ou a ruína. Quem sairá vitorioso nesta batalha de gênio e desespero?;3
Túmulo dos Vagalumes;Grave of the Fireflies;1988;8.5;Animação;Um menino e sua irmã tentam sobreviver no Japão durante a Segunda Guerra Mundial.;Em meio ao caos e à devastação da Segunda Guerra Mundial, dois irmãos, um menino destemido e sua irmã, são forçados a lutar pela sobrevivência em um Japão em ruínas. Enquanto o eco das bombas ressoa ao redor, eles se agarram à esperança e ao amor fraternal, enfrentando perigos inimagináveis. A jornada deles é um testemunho de coragem e resiliência, onde cada dia é uma batalha e cada momento é precioso. Prepare-se para uma história que toca o coração e revela a força indomável do espírito humano.;4
Casablanca;Casablanca;1942;8.5;Drama;O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.;Em meio às sombras da guerra, um proprietário cético de uma boate se vê diante de uma escolha que desafia sua própria alma. Ele arrisca tudo para proteger seu antigo amor e seu marido, enquanto os nazistas se aproximam perigosamente nas ruas do Marrocos. Em uma luta desesperada pela sobrevivência, segredos do passado ressurgem e a lealdade é testada. Neste cenário de coragem e traição, o amor se torna a única luz na escuridão.;1
